GSSCode,name,year,dwellingsPerHectaire
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,201
E09000020,Westminster,2013,173
E09000020,Westminster,2013,201
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,224
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,190
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,159
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,190
E09000020,Westminster,2013,161
E09000013,Westminster,2013,161
E09000020,Westminster,2013,161
E09000020,Westminster,2013,161
E09000033,Westminster,2013,161
E09000013,Westminster,2013,161
E09000020,Westminster,2013,233
E09000020,Camden,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000013,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,233
E09000033,Westminster,2013,233
E09000020,Westminster,2013,233
E09000020,Westminster,2013,213
E09000020,Kensington and Chelsea,2013,233
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000033,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,213
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,213
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Westminster,2013,173
E09000020,Camden,2013,180
E09000020,Camden,2013,180
E09000020,Camden,2013,180
E09000033,Camden,2013,180
E09000020,Camden,2013,180
E09000020,Camden,2013,180
E09000020,Camden,2013,151
E09000013,Camden,2013,151
E09000020,Camden,2013,180
E09000020,Camden,2013,151
E09000020,Camden,2013,151
E09000020,Camden,2013,176
E09000020,Camden,2013,176
E09000020,Camden,2013,176
E09000020,Camden,2013,176
E09000020,Camden,2013,173
E09000020,Camden,2013,176
E09000020,Camden,2013,173
E09000033,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000013,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,151
E09000020,Camden,2013,190
E09000020,Camden,2013,176
E09000020,Camden,2013,190
E09000020,Westminster,2013,190
E09000020,Camden,2013,190
E09000020,Camden,2013,201
E09000020,Camden,2013,173
E09000020,Camden,2013,201
E09000020,Camden,2013,224
E09000020,Camden,2013,201
E09000020,Brent,2013,224
E09000020,Camden,2013,224
E09000033,Camden,2013,201
E09000020,Camden,2013,224
E09000020,Camden,2013,224
E09000020,Camden,2013,176
E09000020,Camden,2013,159
E09000020,Camden,2013,224
E09000020,Camden,2013,159
E09000020,Camden,2013,159
E09000020,Camden,2013,159
E09000020,Camden,2013,224
E09000020,Camden,2013,159
E09000020,Camden,2013,190
E09000020,Camden,2013,159
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,233
E09000020,Camden,2013,161
E09000020,Camden,2013,161
E09000020,Camden,2013,233
E09000020,Camden,2013,161
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Camden,2013,233
E09000033,Camden,2013,233
E09000033,Camden,2013,233
E09000013,Camden,2013,233
E09000020,Camden,2013,233
E09000020,Westminster,2013,213
E09000020,Camden,2013,213
E09000020,Camden,2013,213
E09000020,Camden,2013,213
E09000020,Camden,2013,213
E09000020,Camden,2013,213
E09000013,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Camden,2013,173
E09000020,Islington,2013,180
E09000020,Islington,2013,180
E09000020,Islington,2013,151
E09000020,Camden,2013,151
E09000020,Islington,2013,176
E09000020,Islington,2013,176
E09000020,Islington,2013,176
E09000020,Islington,2013,180
E09000020,Islington,2013,180
E09000020,Islington,2013,173
E09000020,Haringey,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,190
E09000020,Islington,2013,151
E09000020,Islington,2013,190
E09000020,Islington,2013,190
E09000020,Islington,2013,190
E09000020,Islington,2013,190
E09000020,Islington,2013,201
E09000020,Haringey,2013,201
E09000020,Islington,2013,201
E09000020,Islington,2013,224
E09000020,Islington,2013,224
E09000020,Islington,2013,224
E09000020,Islington,2013,224
E09000020,Islington,2013,201
E09000020,Islington,2013,224
E09000020,Islington,2013,224
E09000020,Camden,2013,159
E09000020,Islington,2013,159
E09000020,Islington,2013,159
E09000020,Islington,2013,159
E09000020,Islington,2013,159
E09000020,Camden,2013,159
E09000020,Islington,2013,159
E09000020,Islington,2013,161
E09000020,Islington,2013,224
E09000020,Islington,2013,161
E09000033,Hackney,2013,161
E09000020,Islington,2013,161
E09000020,Islington,2013,233
E09000020,Islington,2013,233
E09000020,Hackney,2013,233
E09000020,Islington,2013,233
E09000020,Islington,2013,233
E09000020,Islington,2013,233
E09000020,Islington,2013,233
E09000020,Islington,2013,233
E09000020,Islington,2013,161
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,213
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000033,Hackney,2013,173
E09000020,Islington,2013,173
E09000020,Camden,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Islington,2013,173
E09000020,Hammersmith and Fulham,2013,180
E09000020,Hammersmith and Fulham,2013,180
E09000020,Hammersmith and Fulham,2013,151
E09000020,Hammersmith and Fulham,2013,151
E09000020,Hammersmith and Fulham,2013,180
E09000020,Hammersmith and Fulham,2013,176
E09000020,Hammersmith and Fulham,2013,176
E09000020,Hammersmith and Fulham,2013,176
E09000020,Hammersmith and Fulham,2013,176
E09000020,Hammersmith and Fulham,2013,173
E09000020,Hammersmith and Fulham,2013,190
E09000020,Hammersmith and Fulham,2013,173
E09000020,Hammersmith and Fulham,2013,190
E09000033,Hammersmith and Fulham,2013,201
E09000020,Hammersmith and Fulham,2013,190
E09000020,Hammersmith and Fulham,2013,224
E09000020,Hammersmith and Fulham,2013,224
E09000020,Hammersmith and Fulham,2013,224
E09000020,Hammersmith and Fulham,2013,159
E09000020,Hammersmith and Fulham,2013,159
E09000020,Hammersmith and Fulham,2013,159
E09000033,Hammersmith and Fulham,2013,159
E09000020,Hammersmith and Fulham,2013,159
E09000020,Hammersmith and Fulham,2013,161
E09000020,Hammersmith and Fulham,2013,159
E09000020,Hammersmith and Fulham,2013,161
E09000020,Hammersmith and Fulham,2013,233
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,233
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,233
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,173
E09000020,Hammersmith and Fulham,2013,173
E09000020,Hammersmith and Fulham,2013,173
E09000020,Ealing,2013,173
E09000020,Hammersmith and Fulham,2013,213
E09000020,Hammersmith and Fulham,2013,233
E09000020,Hammersmith and Fulham,2013,173
E09000020,Hackney,2013,180
E09000020,Hackney,2013,180
E09000020,Hackney,2013,180
E09000020,Hackney,2013,180
E09000020,Hackney,2013,180
E09000020,Hackney,2013,151
E09000020,Hackney,2013,176
E09000020,Islington,2013,176
E09000020,Hackney,2013,176
E09000020,Hackney,2013,151
E09000020,Hackney,2013,176
E09000020,Hackney,2013,176
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,173
E09000020,Hackney,2013,190
E09000020,Hackney,2013,173
E09000020,Hackney,2013,190
E09000020,Hackney,2013,190
E09000020,Hackney,2013,173
E09000020,Hackney,2013,190
E09000020,Hackney,2013,201
E09000020,Hackney,2013,201
E09000020,Hackney,2013,201
E09000020,Islington,2013,190
E09000020,Hackney,2013,190
E09000020,Hackney,2013,190
E09000020,Hackney,2013,201
E09000013,Hackney,2013,201
E09000020,Hackney,2013,224
E09000020,Hackney,2013,224
E09000020,Hackney,2013,224
E09000020,Tower Hamlets,2013,224
E09000020,Hackney,2013,224
